n,dream,source_filename,date,pca1,pca2
391,"Sondra from IHC called me and asked me again to come in for an interview. When I got there, there were several other people in the reception area waiting for an interview for the same position. She was fussing over me being the ideal candidate. She finally took me back to Scott M's office for my interview and was going on to him about how I was the perfect candidate. We were talking about how I excel in operational issues and the connection between my studies and their purpose.",elizabeth.tsv,(2002-03-10),0.013836885,0.23950367
394,Brush with Death I was in a hospital.,elizabeth.tsv,(2002-03-18),0.06946423,0.11920757
398,A lot of very intense anger on my part. ,elizabeth.tsv,(2002-03-24),0.008635633,0.20018531
402,"I sense a lot of strong emotion. I was in some kind of relationship with Wes S, or maybe it was exploring a relationship, walking away and coming back to it. There was a weather disaster involved, maybe a hurricane and or a flood. There was another couple involved. I think there were two children.",elizabeth.tsv,(2002-03-31),0.15352866,0.12190838
403,"I was at work. We had people coming in for the Executive Seminar. Vince P was one of the people who showed up. I was very surprised and said something to him. He said, well, you should have known that I would be here for you. I thought this was odd because he hasn't returned my last couple of phone calls.",elizabeth.tsv,(2002-04-01),0.0631845,0.3218974
410,There were four or five couples trying to adopt this one baby named Hannah [unknown in waking life] .,elizabeth.tsv,(2002-05-14),0.14612615,0.1890344
411,I had contracted some type of neuromuscular terminal illness.,elizabeth.tsv,(2002-05-14),0.06524702,0.24174729
418,I was at a meeting or conference. Someone was making a presentation about the Maori Drawing. I had an Aha of a way to make my use of this drawing better with dreamwork. I left quickly and went to get my files or something so I could make notes of my idea. As I was thinking about it I realized that wouldn't work anyway as it would be no different than doing a regular Maori drawing. I think I'll see if I can talk to Kendall B by phone and discuss an idea about this with him. Maybe I'll just wait until conference.,elizabeth.tsv,(2002-05-20),0.10647164,0.2637777
420,"Dwight W and Albert S. I was swinging on a tree swing and Albert S was pushing me. Dwight W was standing nearby, jealous because he thought that Albert S and I were attracted to each other. Dwight W was interested in me. I told him there would be no romance between he and I. I remember climbing up into the tree for some reason. I don't know if it was to get something or to get away from something. I think we were perhaps a little older than teenagers. I remember their being a school, steps, and a hanger.",elizabeth.tsv,(2002-05-25),0.03535308,0.13700144
421,Dr. Green from the TV show ER; Rosario from the TV show Will and Grace; spoon and shirt; hand; ICU.,elizabeth.tsv,(2002-05-25),0.078770705,0.40295395
425,"Someone, a female, was organizing the books on my bookshelves. She was putting them in order by author, mixing in my dream books with all the others. I told her I wanted the dream books separate, on the shelves nearest the computer.",elizabeth.tsv,(2002-05-27),0.20670167,0.088877305
432,"I sit at the window and gaze out into the crystal clear air adorned with the lush landscape of a warm spring day. The emerald green carpet of grass highlights a sea of Mother Nature's finest floral jewels. What could possibly improve upon such a perfect day? Before I finish the thought in my head, I hear the whirring of the garage door, as it lifts to allow entry. I walk out to meet him. Such a paradox! It seems both like minutes and like years since I've seen him last. And still the butterflies flitter, a familiar sign of new romance, and I know I must stop them. This is an unattainable romance. Or is it? He enters the room and we sit side-by-side, sharing a glass of wine. He is charming, engaging, and intellectual. I found the conversation both stimulating and titillating. He is everything I remember him to be. How can that be? This is the first time I've actually met him and engaged with him. Yet it feels as though I've known him forever. As our conversation continues I notice the familiar, initial, light touches on the arm and hand. The touches of a budding romance? As we both express our enjoyment of the evening, we part company. My mind begins to work on this mental puzzle. Had we really not engaged before now? Is this how it feels to meet a soulmate? The conversation was so easy. I totally forgot myself as my desire to know everything about this intriguing man grew stronger. What a wonderful feeling, to be so focused on another. Thump! Confusion. Reality. , where have you been? What do you think you're doing? Where do you think you're going? Can you not see all of the roadblocks? Love conquers all you say? That kind of talk is for romantic fools. But, the chemistry! The spark! The fire! The beauty! The feeling of finally being at home! Is it simply a romantic fantasy? Maybe more people should look at the possibilities instead of the impossibilities. Perhaps that would give me the long yearned for love. Perhaps if more people thought that way it would give the world a long yearned for love. The world is full of both/and. Remove either/or, assumptions, and judgements from your vocabulary. They are the curse words of the new millennium.",elizabeth.tsv,(2002-06-17),0.036489446,0.055773042
437,"I was with my phd classmates. I don't know where we were but it was really cold. The places that were to sleep were like long rectangular, or long cubes may be the best way to describe it. Long hollow squares. Several of us would sleep in each one, two deep and two high and two across, eight of us. These were outside. Because it was so cold we had to dress really warm. It was kind of like a survivor show. We left one at a time. About half of us were left and I was still there. I was thinking that I had a good chance of being the last one to go because I get along well with everyone and I don't cause a lot of problems. There was something about laptop computers. Carmen A and Julien D were both still there.",elizabeth.tsv,(2002-06-24),0.16816747,0.009257677
443,I thought I was awake listening to a Christmas Video/recording on the TV. When I thought I was opening my eyes I would see an animated video corresponding to the holiday song that was playing. I realized that they weren't playing all of any of the songs- that it must have been a commercial of some sort. I thought it was odd that they were playing this on TV in the middle of the year. Then I realized that I had put it in before I went to sleep. I was too groggy to get up and turn it off. I thought that maybe that is why Christmas had shown up.,elizabeth.tsv,(2002-06-29),0.22949123,0.14638488
454,I was with Ben D and my family.,elizabeth.tsv,(2002-07-20),0.13592872,0.23241632
457,We had a regional SAID meeting in the basement of my birth home.,elizabeth.tsv,(2002-07-31),0.07589495,0.26345026
460,"I recited two poems from the top of my head, my own poems. The end had some extraordinary thoughts. Perhaps I should use the word intense.",elizabeth.tsv,(2002-08-04),0.16941382,0.11692097
461,"Someone said something like ""I know what you mean"" and it really ticked me off. No they don't!",elizabeth.tsv,(2002-08-04),0.09418664,0.3967161
464,"I was sitting at a computer, looking for a place to live in CO. It was as though I had an arial view of the city. I think I was using the mouse to move around and get different views, different angles, or maybe see different parts of the city. I was now in the air moving over the city, moving around the city. Homer Simpson was now with me. We were looking over the city and I was thinking that it wasn't such a bad city. I noticed some of the architecture. I thought some of the buildings were very cool. One building in particular looked like the whole thing was a fountain. It had water running down the sides of the building. I think it was a hospital. There was something about a motorcycle in this.",elizabeth.tsv,(2002-08-07),0.10654524,0.10503665
467,Matthew's Graduation,elizabeth.tsv,(2002-08-09),0.12742849,0.34808904
468,With Macy F,elizabeth.tsv,(2002-08-09),0.04976032,0.4622451
469,Darren and Ray H had surgery.,elizabeth.tsv,(2002-08-09),0.12669031,0.3497957
473,I received an email response from Bill C to an email that I had sent him earlier today in waking life.,elizabeth.tsv,(2002-08-13),0.10676291,0.2470018
479,Taking a nap at Mother and Daddy's house on the sofa. People coming in and out of the room. Trying to get them to help me wake up. I could overhear them laughing at me for moving my hands around in my sleep. Tried to decide whether to continue to signal for their help and have them keep laughing at me or stop trying so they would stop laughing.  ,elizabeth.tsv,(2002-08-31),0.1964178,0.020176345
483,The crash of United flight #93 and other 911 events.,elizabeth.tsv,(2002-09-03),0.2252625,0.20398006
495,"I was asking someone how to do something. There was something that I was supposed to do and I was trying to find out what it was but I didn't. I was trying to do something and was asking someone to tell me how, or trying to ask someone,. I was trying to get the answer and still didn't.",elizabeth.tsv,(2002-10-12),0.03565535,0.24935782
504,"I was in a museum. I was looking at a computer, typing something up about this museum, like a description. I was describing this one room that was about this one guy. There was something about his own music. I was retyping it to say that this organ was playing this man's music.",elizabeth.tsv,(2002-12-07),0.13304117,0.25381276
506,Something about the TV show ER.,elizabeth.tsv,(2002-12-12),0.14036691,0.40504116
507,I was with Bill C. We were outside of the office someplace. We were talking business. He was worried or upset about something and was talking and talking. I finally took my hand and turned his face towards me. I leaned in as though I was going to kiss him and then pulled back. Then he leaned over and kissed me. It was just a couple of very light kisses. Then he pulled back and made some sort of facial expression to imply that he had really enjoyed the kiss. I think we were back at the office now. I don't know if he wanted another kiss or what but I was saying no that I couldn't do that because I work for him. He wouldn't just drop it.,elizabeth.tsv,(2002-12-21),0.01640588,0.12929422
509,"I was on a bus. A man in one of the seats rose into the air as if levitating, and floated there on his back with knees bent. He had a jar of some kind of cream in his right hand. He raised his shirt, reached into the jar for some of the cream, and rubbed it on his stomach. As he did so he rolled over, face down now, and then up, in a seated position. He then floated gently back into his seat. He was wearing khaki shorts and a Hawaiian-type shirt.",elizabeth.tsv,(2002-12-31),0.10547169,0.14273219
515,I was in a beauty pageant. I realized that I was the oldest woman in the pageant. When I realized this I was going to drop out. The people I was with wanted me to stay in for precisely that reason. They wanted me to show how great a 40+ woman can be.,elizabeth.tsv,(2003-01-27),0.12201493,0.19115205
525,"I was working with DB research, doing various searches and such. There was some communication with Ben D regarding these searches.",elizabeth.tsv,(2003-02-05),0.18246374,0.43787074
527,"There were two men. I had to choose one of them to have a relationship with. I chose John Carter, from the TV program ER. I told someone that it was really no contest at all. The other man didn't begin to compare.",elizabeth.tsv,(2003-02-07),0.08427519,0.20762959
534,"I was communicating with someone about catalyst. I saw communicating because I don't know if it was by phone or email or on catalyst. I said that I had decided to at least come in and establish my presence in dissertation proposal writing. There was some conversation about my continued confusion about not being able to be in dissertation seminar this semester when I was in it last semester, and having to go back into dissertation proposal writing instead.",elizabeth.tsv,(2003-02-11),0.043671068,0.23876913
537,I was meeting with some different people like the lighting guy. We were riding in a car and I was telling him about how I feel when Bill C begins to explore the possibility of a new employee and speaks so glowingly of them.,elizabeth.tsv,(2003-02-13),0.06874008,0.35387838
538,CAS in the woods.,elizabeth.tsv,(2003-02-13),0.103675865,0.3533751
541,Bill C recognized the wisdom of something I had shared with him at work yesterday morning. I was very pleased.,elizabeth.tsv,(2003-02-14),0.08981385,0.45330954
542,I was continuing the computer work that I was doing all day.,elizabeth.tsv,(2003-02-15),0.14632058,0.36932352
549,"I was on the TV show Joe Millionaire. Early on I mentally took myself out of the competition because I recognized that I was just so different than all the other woman. Once I did that, the dynamics between myself and Evan changed dramatically. We became buddies, I suppose. I think I also just told him that I was mentally taking myself out of the competition and why. I think I became for him the person that he could trust and confide in. We started spending alot of time together. Primarily just when he needed someone to talk to. I was that person.",elizabeth.tsv,(2003-02-17),0.022418452,0.06841706
550,I was in the CAS office working with Bill C on some marketing things. I think maybe we were working on the catalog.,elizabeth.tsv,(2003-02-18),0.03697018,0.5631768
553,I was working at the computer in an Excel spreadsheet. I was trying to figure out how to print the spreadsheet and show the row numbers but having the row numbers start with the actual data and not start by numbering the header row.,elizabeth.tsv,(2003-02-27),0.13967694,0.28639376
560,"This was a scene from the TV show The Bold and The Beautiful. They were closing the story line between Ridge and Bridgett, with Ridge gently rejecting her advance. Taylor walked across the background with another man.",elizabeth.tsv,(2003-03-02),0.11292044,0.19693962
563,I adopted two dogs. One was a Lapso Apso. I don't even know if there is such a breed of dog.,elizabeth.tsv,(2003-03-09),0.08629685,0.35474047
565,I was with Connie B.,elizabeth.tsv,(2003-03-13),0.096140444,0.2986192
569,I was in part of an armed forces battalion. We were entering this town on foot. We thought that the enemy was hiding and waiting for us so we were very cautiously entering this town. Trying to see if we could see the enemy hiding from us. It turned out that they weren't after all. We went all the way through the town. I don't know why we were there.,elizabeth.tsv,(2003-03-16),0.010687995,0.035148438
570,I was with Alicia J. At least during part of the dream I was a midget. We had midget cars that we were driving. Mine was a stick shift that I was learning to drive and there was some kind of race that I won. There was also a house that Alicia J had that all of these artistic people came to - something to do with arts. Something about a fireplace. I was also going to this town with Mari Kate S and Rachel S. We came to this house that had alot of Easter stuff for sale in their yard. It had many pieces of the same things - like you would find in a store. Aunt P and Aunt H were there also.,elizabeth.tsv,(2003-03-17),0.45874396,0.023783667
573,There was a murder.,elizabeth.tsv,(2003-03-30),0.030391255,0.13368961
574,"I was on a beach with Tom Hanks. I was in a store trying on pants. We left the store and went out to the beach. Someone was picking on me, verbally. Tom was trying to get them to leave me alone.",elizabeth.tsv,(2003-04-07),0.02212557,0.070543855
576,"Matthew was a little boy, perhaps 3-4 years old. We were living in an apartment that had alot of very large windows that had no window coverings. It seemed that no matter what window I went to there were people outside, maybe neighbors, that could see me inside my apartment.",elizabeth.tsv,(2003-04-10),0.03819762,0.096202835
579,I was burning a CD at work after finishing some project. I was having lots of problems. The file was too large. I think I ended up having to burn two CD's. I put some files on one CD and some on another. I was dreaming about the QL file in particular and kept trying all kinds of things hoping I could get it to fit on just one CD.,elizabeth.tsv,(2003-04-27),0.12735346,0.20671453
581,Working on my dissertation proposal. Nothing helpful or pleasant. It was more like a mental battle over some of the elements of the proposal and what to put in it or what it was supposed to say or that kind of thing. I think especially related to the methodology.,elizabeth.tsv,(2003-04-29),0.1352365,0.28422424
589,Matthew and I were looking out the kitchen window. There were hummingbirds at the hummingbird feeder.,elizabeth.tsv,(2003-05-17),0.13060798,0.20290256
599,An adult male and a male child on state. They were standing maybe 10-12 feet apart facing the audience. Another male child came from the left onto the stage. Just as he passed across the front of the man he tripped and fell. I don't know what made him trip.,elizabeth.tsv,(2003-06-29),0.051211804,0.1150185
600,I was with Karyn L. She had three children. I was surprised to learn that she had been married and had three children as she is gay. I thought about how Mary Kay C must feel about becoming an instant parent. But she is so kind and loving I knew it would not be a problem for her. I knew she would soon be coming to live with Karyn L.,elizabeth.tsv,(2003-06-30),0.19386145,0.24458356
613,"We were going to get my mother a saxophone so she could learn to play. I wondered if it would be too difficult for her, strengthening the cheek muscles and such for playing a wind instrument, because of her age. I don't know why it would be. I thought that maybe if she had a saxophone I could relearn how to play the clarinet and we could practice together every day.",elizabeth.tsv,(2003-07-19),0.02905109,0.28235224
616,"In my home, slightly distorted from waking life home. There is an empty salt shaker sitting on the microwave. I'm afraid it's going to get knocked off so I take it and put it inside the cabinet. I also take a salt shaker that has salt in it and I sprinkle salt on top of some things that aren't edible. There is a very large flower sitting on the floor at the corner of the walls that connect the dining room and living room. It has lots of green leaves and deep purple flowers. The flower reminds me of my clematis but the plant is much bushier, larger, and darker green than clematis. I had my candle lighter to light a candle with.",elizabeth.tsv,(2003-07-19),0.0005251182,0.15831323
620,"Darren was going to school to become a doctor. I was still working on my Ph.D. Someone was saying something about the medical degree having more prestige or being more valuable than the Ph.D. I stated my usual case that I agree that the medical degree is indeed very valuable to society. We certainly need good doctors and good doctors perform a great service to society. However, they also get paid very well for it and it does not require the same mental capabilities as a Ph.D. People who study for a Ph.D. are not easily recognized for their value to society, though a good Ph.D. brings great value. And they do it knowing they will likely never receive the same financial rewards as a medical doctor nor be given the same respect. In addition, the Ph.D. is by far a more difficult degree to earn mentally because it does not require the memorization of known information or already identified knowledge but instead requires the discovery of new knowledge. A M.D. can get their degree by getting certain grades and fulfilling certain tasks such as residency. A Ph.D., on the other hand, can get stellar grades, complete all requirements and still not receive their Ph.D. if a panel of judges does not approve the final dissertation work based on the dissertation defense - the final step of the Ph.D. process. I don't know who I was telling all of this to.",elizabeth.tsv,(2003-07-25),0.028717536,0.28446788
624,I was at work. Bill C and I were learning and working with some kind of new computer technology. We were learning the ins and outs of how it works. It was really cool but I can't explain it.,elizabeth.tsv,(2003-07-27),0.10985561,0.44121587
632,"Something about my bank account. I'm having trouble transferring money from one account to another. Also, there was not as much money in the account as there was supposed to be. It was several hundred dollars less.",elizabeth.tsv,(2003-08-10),0.030545587,0.17289543
636,Someone was helping with my website and we were having a lot of trouble with some of the pages.,elizabeth.tsv,(2003-08-14),0.0057927864,0.3891416
639,I was with Matthew standing at a register in a store. He was standing to my right. Eight or nine times someone came up and stood to Matthew's right. Each time it was an actor. Matthew would nudge me and point out who it was. One time it was Robert Uhlrich. I haven't seen him act in a few years but I used to think he was very handsome and hearing about some of his community work representing some illness I've also respected that work. I introduced myself to him and told him it was quite a pleasure to meet him that I've been a fan.,elizabeth.tsv,(2003-08-15),0.07652404,0.20685664
645,I was at the CAS office. We had quite a few different websites. We were making some changes in the copy and such of some hard copy materials and then incorporating those changes into the websites.,elizabeth.tsv,(2003-08-20),0.06753113,0.51260823
647,I looked in the mirror and I thought I looked like I had gained some weight back.,elizabeth.tsv,(2003-08-22),0.10625194,0.120993294
648,"I was trimming my flowers, particularly trimming my Chrysanthemum bushes way back.",elizabeth.tsv,(2003-08-25),0.053253826,0.25623816
649,"I was at the NTNS. I took two rings there to sell. Yet, I was hesitant because I didn't really want to go back there since Jane H and Janet S no longer work there.",elizabeth.tsv,(2003-08-25),0.005158951,0.34814855
657,This dream had something to do with burning a CD for other people. I don't know who we is. I don't know if we were doing this to sell them. There were a couple of different pieces that were going on the CD. I wanted to make sure that they got burned in the right order. I also said when people put the CD in their computer to play it they would see the name of each file for each track. So I wanted to make sure that each track would be named appropriately so it would make a good impression. There was also something about dividing up the files or some such. Maybe the whole file didn't need to be burned on the CD.,elizabeth.tsv,(2003-09-01),0.3551528,0.092179984
665,I was doing computer work and doing so unsuccessfully and getting very frustrated.,elizabeth.tsv,(2003-09-08),0.06948424,0.43152174
666,"I was at St. Joe helping to host some kind of event, maybe an auction.",elizabeth.tsv,(2003-09-09),0.04725458,0.37426016
667,There was a red motorcycle and a blue motorcycle.,elizabeth.tsv,(2003-09-12),0.113082096,0.15686524
671,I was working on the SFS manual. It may have been something similar but I'm pretty sure it was that one. In particular I remember trying to get the outline in the word document to set up correctly when I was going on to a new page.,elizabeth.tsv,(2003-09-16),0.08859835,0.40188065
673,"I was standing outside my home when I saw Tim U driving out of the complex pulling a U-Haul trailer and a camper. The camper was painted with multi-color, pastel, vertical stripes. My immediate thought is that he was leaving. That he either got fired or that he decided he didn't want to work",elizabeth.tsv,(2003-09-23),0.03337099,0.10620653
674,I was working at the computer making a form using Excel. It had something to do with Lorna's community.,elizabeth.tsv,(2003-09-22),0.11806359,0.5261227
677,I was trying to figure out which photographs were missing when I picked them up from the developer. They were for my photography class.,elizabeth.tsv,(2003-09-30),0.14250877,0.45416462
680,My school work.,elizabeth.tsv,(2003-10-03),0.17781577,0.46084574
681,I was doing some kind of editing online.,elizabeth.tsv,(2003-10-06),0.12969239,0.42405203
683,This was about my photography assignment. When I took my photographs I didn't write down what shutter speed I was using. So I was going through the photographs trying to figure out what my shutter speed would have been by looking at them - which is of course nearly impossible to do.,elizabeth.tsv,(2003-10-07),0.051514782,0.27912253
694,I'm alone in my hotel room. I was getting ready to go. I used the toilet and took a shower. There was so much stuff.,elizabeth.tsv,(2003-10-24),0.048866283,0.07588258
697,Something to do with the CAS office.,elizabeth.tsv,(2003-10-26),0.022756338,0.5438045
704,Something to do with computer work and pulling up a lot of files that had some kind of supporting data for the name file. That's the best way that I can describe it. There were a lot of them. I don't know if it was me doing the work or someone else. Going through them one at a time. At the end it seemed to be meaningless. This was sketchy and hard to explain.,elizabeth.tsv,(2003-11-10),0.08494836,0.31850228
709,"I was at some kind of family event. Bruce W and Carl W were both there. I was talking to Carl W and telling him how nice it was to see him since he never gets to family reunions. I was saying something about him still being single, which he isn't in waking life, and he reminded me that he was married and that it was Bruce W that was still single. I was thinking about having an attraction to Bruce W and that I was glad or something that he was still single. However, I quickly thought how inappropriate it was to be attracted to him as he is my first cousin. I think, though, that the attraction was mutual.",elizabeth.tsv,(2003-11-15),0.049557026,0.10238412
712,Matthew came home and told me that he and Ashley B were officially going steady.,elizabeth.tsv,(2003-11-16),0.06460887,0.25214133
719,Someone was getting married. I think it was Jennifer K. I was a bridesmaid. We were running late. We didn't get to the church until five minutes before the wedding was to begin. We weren't even dressed yet.,elizabeth.tsv,(2003-11-19),0.13602541,0.18180957
721,"I was at the CAS office. Bill C and I were trying to arrange a work session. He asked me if I wanted to have a working lunch. I said, Yes, I'd love that.",elizabeth.tsv,(2003-11-20),0.022131972,0.3928352
728,I was trying to work out the dream experiences of earlier tonight. I was trying to put the experience on paper and it was just not translating effectively.,elizabeth.tsv,(2003-11-24),0.4523273,0.03996639
729,"I was working for a large company and there was a team of us that was assigned a team task to look at the staff of a company as two separate teams. Each of the two teams doing this project were to come up with a list of descriptive words for one team in the company. Then we would narrow down this list of descriptive words to the top three or four. Then I think it was these top three or four words in maybe their strategic planning or maybe in coming up with some aspect of what they did or how they did it. All the descriptors would be used and considered but the top three or four would be considered essential in all decisions that were made. Then I think we also, both teams of this project, came together and looked at our list of descriptors together. I don't know why or how that was used.",elizabeth.tsv,(2003-11-25),0.089901134,0.3488289
732,"I was with my lover, which I don't have in waking life. He had jet-black full hair and olive skin. He was a married man with two children - a boy and a girl. I went to the airport to go on a trip. His family was along too. The plane crashed. We were all fine.",elizabeth.tsv,(2003-11-29),0.31143904,0.035065383
733,"I was overseeing the work of some people who were developmentally challenged. They were doing janitorial work, emptying trashcans and such.",elizabeth.tsv,(2003-11-29),0.014325854,0.31707707
735,"I was a doctor, part of a surgical team. Our first step was to try to stabilize this patient so that we didn't lose them. But then our next step was to try to bring them back mentally so they wouldn't be brain dead. There was something about the importance of developing relationships with the other doctors and the other members of the surgical team and the important role that plays in serving the patients the best that we can and giving them the best possible care.",elizabeth.tsv,(2003-12-01),0.068812974,0.24707505
737,Something about Christmas trees and Chris W.,elizabeth.tsv,(2003-12-06),0.1940515,0.39087003
738,Matthew and some of his friends were at our house. ,elizabeth.tsv,(2003-12-06),0.017879365,0.17714226
740,"Something on the radio. I said, This would be great for dream recall. It's all right here. I just have to cut and paste it into my dream journal.",elizabeth.tsv,(2003-12-09),0.5209469,0.14088814
743,"Something to do with home decorating. We were adding a wall to a room. This may have been part of or for a TV program. There were candles in the room and we were going to store a lighter near each candle, like in a drawer. But I said it was very important that we tell people how to do this safely, that they shouldn't keep lighters on papers or on fabric because they could be an additional fire hazard that way. Additional, because if candles are properly used or tended they are a fire hazard. I said it is important that the lighters be stored on a hard surface that is not easily flammable.",elizabeth.tsv,(2003-12-12),0.01920023,0.31725186
745,"I was driving down the street of a neighborhood that was familiar. [unknown in waking life] Every family owned a dog, most of them fairly large dogs. As I was driving I was thinking things like I didn't know they had that kind of dog Those two families have identical dogs Look how big those dogs are That dog reminds me of.",elizabeth.tsv,(2003-12-12),0.11746171,0.15524535
750,I was trying to figure out how to create a pdf document using my Broderbund software.,elizabeth.tsv,(2003-12-15),0.06542182,0.4236248
755,I was trying to figure out some kind of computer problem at work. I was going back and forth with someone about how to fix it or different possible solutions. I don't know if we ended up getting it fixed or not.,elizabeth.tsv,(2003-12-23),0.04294582,0.44420174
762,I was working on a project at home. I kept trying over and over to do it successfully.,elizabeth.tsv,(2003-12-29),0.117002785,0.4011866
764,I was taking a large artist brush and brushing eyeshadow on some large stones.,elizabeth.tsv,(2004-01-11),0.09032476,0.28527406
770,Something to do with organizing files or books.,elizabeth.tsv,(2004-01-17),0.093309425,0.56120074
771,The entire night was a continuation of dreams about what was on TV last night.,elizabeth.tsv,(2004-01-19),0.41173106,0.10316135
777,Something related to the TV program The Apprentice.,elizabeth.tsv,(2004-01-29),0.12061953,0.48001018
783,The TV program The Apprentice. The Versicorp team had found some files that they were going through to use what they could in future missions. Protege had discovered a car in disrepair. They were trying to repair it to use in future missions.,elizabeth.tsv,(2004-02-07),0.15150473,0.43128785
784,Working on something like the CAS kit.,elizabeth.tsv,(2004-02-09),0.004515086,0.44846973
788,"Resembled the TV program The Apprentice, though the people were different.",elizabeth.tsv,(2004-02-12),0.098239385,0.45361653
789,"I was at SVH having surgery. Brandy C was there. The surgery that I had was somehow related to the bottom half of my torso. I'm not sure what that means - if it was related to female organs, genitalia, or what. A doctor came in that I didn't know.",elizabeth.tsv,(2004-02-13),0.09865889,0.20048513
792,A TV program. We kept running into problems that we were trying to work out.,elizabeth.tsv,(2004-02-16),0.09678501,0.3563274
794,Something about car shopping. I had left my clipboard downstairs in the living room. I was going to go down and get it to put my paperwork on to sit up here and fill out my paperwork.,elizabeth.tsv,(2004-02-21),0.09025413,0.2836378
797,I was getting my car repaired.,elizabeth.tsv,(2004-02-24),0.075422004,0.30944973
801,Programming my car and maybe other cars to help us get where we want to go the best or most effective way. The images of the dream though were those of creating a document in MS Publisher where you can flow text from one page to the next within text boxes. When I programmed the car it affected how something flowed from page to page. I was trying again to successfully program my car so then we could use that as a guide to help other people program their cars successfully.,elizabeth.tsv,(2004-02-29),0.3675525,0.16234514
803,"I was trying to get some documents to print properly. I spent more than an hour trying to figure that out. I woke up from the dream at 4 am and then went back to sleep, the dream continued. I woke up from the dream again at 5 am and still had not been successful getting the documents to print. There aren't a lot of images and so not much to record. No characters. Don't really see a setting. I see the settings on the printer and I see the copies coming out wrong.",elizabeth.tsv,(2004-03-02),0.3986692,0.0076733767
804,"There was a sense with the imagery that I was at a computer working on an Excel sheet. There was a list of things that at one point I realized that there were one or two things that I needed to always have at the beginning of the list because they somehow impacted the outcome of. I think maybe it was a task list. I needed to have these one or two things always at the top of the list in order to get the other things done. These one or two things were, one or the other of them were always on the list. This list was only for one person and yet there is a sense that is for me and not for me.",elizabeth.tsv,(2004-03-04),0.14914268,0.16494614
806,"About a TV show, but the imagery was all about a computer software program.",elizabeth.tsv,(2004-03-06),0.21907707,0.41963515
821,"I was living in the condo, except that it looked different than in waking life. There is something about a haircut and having two different people to choose from. I see a computer drop down list with each name mentioned. Both of these are people that I've had cut my hair before in a dream - I don't know them in waking life. I had narrowed it down to these two people that I allowed to cut my hair, depending on which one was available.",elizabeth.tsv,(2004-03-30),0.24204622,0.033922654
828,"I was thinking about joining Mensa, sure that I wouldn't have a problem scoring high enough on their tests. I thought it might serve me well to have that on my CV when looking for a new job.",elizabeth.tsv,(2004-04-17),0.18156074,0.3514506
829,The characters from the Friends TV program. Monica and Chandler were getting married.,elizabeth.tsv,(2004-04-19),0.13164556,0.40819398
834,Something to do with exercise. I can see a chart of numbers and there is something about the percentages of each of these numbers. When I walk I try to maintain 55 - 65% of target heart rate. It was something like that.,elizabeth.tsv,(2004-04-28),0.16200076,0.279792
835,"I had gone to a shopping mall. As I was driving through the parking lot I noticed how far away from the building some of the cars were parked. Then I realized that they belonged to employees. It was late in the afternoon. I was thinking that was a long way for employees to walk in the dark to get to their cars after the stores close. It was either kind or brave or both for them to park that far away so customers could park closer to the building. I wondered if the mall had a shuttle service to shuttle employees to their cars at night, to keep them safe. Then I remembered that a long time ago when I worked at the mall they didn't have such a service. I also didn't remember parking that far away or having to walk that far at night, which is when I usually worked.",elizabeth.tsv,(2004-04-28),0.05621903,0.17812623
838,Last night before I went to sleep I was watching a TV program about the final episode of Friends. This dream was kind of an extension of that special where they were continuing to interview the actors and writers from the program. In particular they were talking about how some or all of the actors may reunite on the spin-off program. One thing in particular that I remember is that they should all reunite at Thanksgiving because on the program the six of them always spent the holiday together.,elizabeth.tsv,(2004-05-05),0.2634241,0.22019406
840,"Something about the weather and involved a computer printout of something related. It was very hot, Matthew was home for a visit. I had all the windows open because I didn't want to turn the air conditioning on but I knew he probably preferred that I have it on. I was looking at this print out and thinking that the weather was going to change and/or the printout was wrong. I didn't think it was a big deal because I knew I could go to the computer and print out an updated or correct version.",elizabeth.tsv,(2004-05-08),0.07777785,0.36770967
