n,dream,source_filename,date,pca1,pca2
268,I went to Len U's funeral. He was a member of BPE. he was a gentleman who attended the Mensa meeting also and had sent me an email about networking for jobs. This makes me think that it wasn't Len U at all but rather another man that I had met at Mensa and BPE and as described here. When we were at the funeral home I saw his wife and maybe a daughter. When I saw him in his casket I didn't think it really looked like him. We were getting in line to view the body. As we were walking to get in line there were other people laid out in their caskets as well. There was something about after the wake gathering for a meal.,elizabeth.tsv,(2001-08-03),-0.007606985,0.086545326
270,"I was in this big dining hall. There was kind of like a Christmas party going on. Maybe for WDF or for DDSI. There were all these Christmas aprons hanging from wires above my head. They had the wires stretched from wall-to-wall. The aprons had various Christmas designs on them. I thought I should get one because I had intended to start wearing an apron in the kitchen. As I was walking around the room, there were tables displaying things that people had made. The things that I remember most were drink pitchers with matching glasses. They had painted designs on them. I was in a car with John Mu and Terri S from KTC. I don't know where we were headed but John was driving. We were seeing Halloween decorations at different places. As we went through underpasses, we saw that someone had put up giant Jack-0-Lanterns. This is next to impossible for me to describe. The best I can, is to say that where there were open spaces the Jack-O-Lanterns showed through. There were umbrellas and very unusual decorations. We stopped at one house and I don't know why. There were two young boys who lived there. They had built something they called an elevator out of wood. They had a rope that you pulled to lift yourself to the second floor. Right outside on the second floor was a patio door. Terri S said she was going to play with the boys, go outside, and use the elevator. The boys noticed her right away, came out, and asked what she was doing using their elevator. She came back down. The boys said something to their parents about someone using their elevator. She got back in the car and we left. I was debating with someone over whether or not to wear these gloves. I was at a theater. We were getting ready to produce a play. I was not supposed to be in the play. I don't know what my role was. At first, it seemed like we were doing a play of My Fair Lady. Later it seemed like we were doing a children's play like Barbie. It seemed to change several times throughout the dream. I don't remember what it ended up being. I spent a lot of time with the male producer/director back stage. Something like a hand vacuum was broken and he was trying to fix it, though he was unsuccessful. He was using a very small hammer. I took the hammer from him and told him to let me help. I decided I needed a larger hammer so we were looking for one. I finally found one and I fixed it. He was grateful for that. We started talking about very common things that I experience, but he had never had. Things like chips and salsa. He was very wealthy and just had not experienced very ordinary things. Over the course of us working together, he fell in love with me and he asked me to marry him. I said yes. We didn't tell anyone at first. The backstage area really sticks in my mind. There was clutter everywhere. At one place, you had to step down into another area. You stepped onto a floor of car batteries. There were two different levels of batteries. You had to walk on them instead of the floor. You couldn't even see the floor. He was waiting to tell the cast and crew about our engagement. It somehow got out but I don't know how unless he told someone. Most of the crew and cast were very happy for us. I was talking to someone about jobs and trying to find jobs that we really love. I said that I had been in school plays and that I really loved doing that. This is true in waking life but I would not imagine myself doing that full-time in waking life. She was encouraging me to pursue that as my full-time job. I had been thinking that was watching the other actors perform, that I should have been behind them practicing and learning the moves. I thought that would have been a good move for me, but I didn't do it. The play was a musical with a lot of dancing. I thought I could have learned the moves if I had practiced with them instead of just sitting and watching. I could have done this. Later the word got around to the whole cast about our engagement. One of the main female cast members was attracted to him, very upset about this, and intended to make sure it did not happen. It was almost as though I was watching a film. I wasn't with her or overhearing her, but watching her talk and interact with other cast members. Her and these other women were all dressed in costumes that remind me of My Fair Lady. Later, another woman, not in the cast, shows up and is talking to him. Again, it is not as if I am there watching, but I am seeing it. This woman is talking to him as though they are in a relationship and nothing has happened. He is very cool towards her and she doesn't understand why. I'm talking to this little girl. I asked her name and she said Annie H. I told her that is one of my favorite names because my middle name is Anna and my favorite Uncle used to call me Annie. I told her some about Uncle A. She said she was very happy that this man and I are going to marry. I don't know who she was, maybe a member of the cast. Several times he and I kissed. Usually, very long and passionate kisses. One time it was right in front of other cast members. That must have been when they found out. This news caused so much trouble with the cast that I think he backed off and I can't remember if he actually changed his mind. He was going through a lot of turmoil about whether to marry me or not.",elizabeth.tsv,(2001-08-05),-0.04762074,0.14951693
272,"I was the owner of a large styling salon. A salesman came in to demonstrate and try to sell me a vacuum. It was a very powerful machine. I tried it out by vacuuming the entire salon. I used the attachments and vacuumed hair from around the baseboards. I accidentally moved the attachment right by a client's face and the stylist insinuated that the vacuum removed her facial hair from that side of her face by complimenting the client on how beautiful her skin was. I looked and noticed that she had facial hair on the other side of her face. I didn't do or say anything else about it. I finally told the salesman that I was going to be working on budgetary items during the coming week so I would be able to give him my decision then. I wanted the vacuum but I also think I was trying to give him an excuse rather than saying no to him at that point. My husband owned an auto and appliance repair business right next door to my salon. I went and talked to him about my intentions with budget and that I was considering some business changes that would improve both sales and profits and allow the stylists to make more money as well. I found out that my stylists rarely get any tips. I suggested that we should put a little sticker on the corner of each of their mirrors that says Tips are appreciated as this is an important part of our stylists income. When I first started talking to my stylists about some of the changes I was going to make all but 2 or 3 of them got up and quit. Eventually they all came back. I think as they spoke with the ones who stayed about the changes they became convinced that it would be a very good thing. My husband wasn't very supportive but he didn't stand in my way either. He didn't want me to do anything with his business though. I did suggest that they put up a basketball goal on the corner of his lot so the employees could relax a little on their breaks by shooting hoops. I also thought this was something that the employees wanted. I don't know if it actually happened or not. there was some kind of an evil person trying to sabotage my business. I don't remember much about this part. I did find out later that he was connected to my husband. as though my husband was behind it. I managed to get rid of this person though and the changes were being very successful. The stylists were dressing much nicer when they came to work. They were much happier, getting nice tips, and the clients were very happy with the changes. There was one stylist that was the hardest to win over. She had studied clinical counseling but then decided to become a stylist instead. She took care of her clients in a private room so they could speak privately with her while she took care of them. She wasn't acting in an official counseling capacity but used her knowledge to help them while she was taking care of their styling needs. She combined them in a manner as to not put herself or us in any kind of legal jeopardy. She was very happy when I encouraged this and gave her a private room so she could do so more effectively. Her clients were especially pleased with her. They had something to do with an airline or flights. There was a person that looked like or was dressed like an angel or a fairy, with sparkling wings that fell gently from the sky. She landed, or her wings became caught, on something like bleachers. This is where I found her and freed her. She was somehow connected to my husband and this evil person that I had to deal with earlier. Maybe she was a distraction. ",elizabeth.tsv,(2001-08-12),-0.2733475,0.14647771
278,"I had gone to a morning OD meeting at a restaurant. There weren't very many people there and it wasn't structured. People were getting up and walking into the kitchen. Some were just walking around. We were the only ones in the restaurant. I talked primarily to one gentleman. I was trying to get something useful from this meeting. He was talking about OI. In waking life I have no idea if there is even such a thing. It seemed as though it was industrial OD. I was asking him if he thought that was a good area for me to pursue. I kept stressing that I what I want most to do is use my training/lecturing and writing skills. The whole meeting seemed very unhelpful. I left there and went to the anniversary party. I got there late, in time for the reception. I missed the mass because it had started earlier than I thought. I was aggravated with BJ because she didn't tell me what time I needed to be there. I wondered if people got videos of the Mass so I could at least see that. They were taking lots of pictures. One thing that was particularly unusual is that there was a corner curio cabinet with glass shelves. There was a space in the back of the cabinet between the back of the shelves and the back of the cabinet. They were having people sit in the cabinet in this space. They were taking pictures of each person in attendance in this cabinet and they were putting things on the shelves that represented each person. They were thinking about what to put on the shelves to take my picture. There were some barbecued chicken wings that I was eating. Bob F asked me how they were. I was nice and said they were good. I thought the sauce was good but that if had bought the chicken at another store they would have been juicier or more tender and with more meat on them. There was one table that members of the Harris family were sitting at. They had a very large tray and they had made high piles of desserts on it like cake and brownies. They had filled it full of things they were going to take home with them. I was taking the slices of cake off looking for something but then putting them back on. Linda W said that was fine as long as I didn't mess up their cake. Kim H went to the microphone. This was a dream within a dream. At the end of the dream I was with my siblings telling them I had this dream and that we could use it to see what things happened that we didn't like and what things we did that we especially liked but maybe weren't planning.",elizabeth.tsv,(2001-09-07),-0.17436288,0.056401853
280,"Cindy S was dead. For some reason we had to exhume her body and there was someone else that we had to bury. I think we were going to bury this other person, maybe, right next to where she was buried. We didn't want to do it at the same time because we didn't want to impose on the S's while they were exhuming Cindy S's body. We talked to one of the S boys to make sure that wasn't going to be a problem. They assured us that it wasn't. Steve S was her brother. [but he was her cousin in waking life] I think Paul S was also her brother. [Paul S was also a cousin in waking life and deceased] . Maybe Tim S and Don St, though they are cousins also. In waking life, Steve S, Paul S, Don St and Tim S are all brothers. When they exhumed the body it wasn't in a casket but was wrapped in. It almost looked like aluminum foil but it was much larger than if the body was just wrapped in foil. It was like there were a lot of layers. I can't really explain it. I also don't know who the other body was that we were burying. Cindy S was alive again. Then she was dead again and they reburied her. After they reburied her I was wearing a necklace of hers. I don't know if she had given it to me or how I got it or why I was wearing it. Her father, not her waking life father, came in to church and sat down next to me because he had not been able to be present at the time that they exhumed the body and then reburied her because he had to be at a business meeting. I showed him the necklace to reassure him that it was her and that she was doing well and tried to give him some comfort. I thought how sad it was that on such an occasion that he could not be present because of a business meeting. We were back at the cemetery and I was picking up these sticks. In diameter they were the size of a pencil but they were much longer. On the end they had a kind of crook on them and they were light green. I was picking them up and sticking them in the ground at each gravesite that something had to be done to them. I was trying to find these open, vertical pipes or something so I could put the stick down into the pipe. I did four in a row. It was to mark the graves for something that had to be done later. Some of the graves had folded lawn chairs sitting up against the tombstones. People would come and sit there at the grave of their loved ones. One of them was Uncle E. I was thinking that Aunt M probably goes and sits there quite often.",elizabeth.tsv,(2001-09-09),-0.07464885,0.026410129
284,"I was on a teleconference call with Darren and someone from the child support office. She was asking questions about the status of our child support agreement. As usual, I was getting more and more angry with Darren and found myself yelling at him. I was flipping through my file cabinets while I was talking to try to have the exact numbers in front of me when I spoke. I said, you make $56,000. Then I hesitated and changed it to $74,000 a year and still think that $70 a week in child support is adequate. He then told the other person on the phone that he wanted to file a petition for the child support to go directly to Matthew. While I was talking on the phone BJ's family arrived, suitcases in hand, and Matthew was taking them into his bedroom to get settled. I'm not sure why they were here, especially to spend the night. I noticed that Mike A was with them and I couldn't believe it. Then I thought I don't know where I am going to put all these people as other members of my family were going to be arriving as well.",elizabeth.tsv,(2001-09-18),-0.21795847,0.09787083
287,"I was preparing to fix myself a meal. I went to the freezer and decided that I should eat something that I have had in there for some time. In the process I found things I didn't realize were in there or things that I had forgotten were in there. I took a round, forest green tablecloth folded in half out to the front porch, deciding that I would eat out there for a change. It was a classic picnic table like you would see in a park. There was already a cranberry colored tablecloth on the table so I placed the green one, still folded, over part of one lengthwise side of the table so you could see both. I think I placed something else on the table too but I can't remember what it was. I went back inside and started rearranging the things in the refrigerator. Now I was working in a dorm-side refrigerator, finding all kinds of things. I thought, I keep forgetting this one is even here. I found things that we had put in that freezer, leftovers from my son's high school graduation party in June. There were two packages of hot dogs; each one had been opened so I combined them. There were ziplock bags of sliced cheese and crackers that I decided to put in the other refrigerator so I would remember to use them for my bedtime snack. There was a package of sausage. As I was moving things I found some very old lettuce in the back. I took it out and laid it aside to throw away. I also found an individual serving bottle of juice with no lid on it. There were a couple of things that were just a bite or two and I took them out thinking that I would just consume them now rather than keeping them and I wouldn't dare just throw them out. I took the juice bottle out to drink right away as well. As I was picking up the lettuce off the floor I put it in the sink to put in the garbage disposal. Now it was much more than when I took it out and there were other things as well. It filled one side of the sink. While I was doing this, there were three men sitting at my kitchen table. One of them was interviewing the other two about 911. They kept glancing at me and what I was doing. For some reason I also had tools and parts lying on the floor around me as though I was fixing the refrigerator as well. I realized I would have to move some of these things when they were ready to leave or they would not be able to get out. I did this as I saw them wrapping up and they got up to leave. The interviewer left and the other two stood there and talked with each other. The one started crying because the interviewer had given him such a hard time.",elizabeth.tsv,(2001-09-22),-0.12859632,0.052315496
291,"I can't place where we were, but we were someplace for school. I spoke with Monty about my paper and he was irritated, disappointed. He was talking to me about my paper and how there were several questions and I only answered one of them, and even then I only answered with a couple of paragraphs. It was just barely passing work. He just didn't understand and was really bothered by this. He said, I'm sorry. I said, no, don't be sorry. I feel the same way. My work has not at all been what I would like it to be. This aren't really excuses but. I told him about the year I've had being unemployed, etc. So unfortunately it was not just your class that suffered. It was the others as well. In some way that made him feel a little better. Still, he was a little disappointed. So I asked him if there was anyway to make it up or to redo the paper or add to it or anything. He didn't think that was possible. we were laying in the grass together, like spooning. There was clearly some affection there. I don't know what that was about.",elizabeth.tsv,(2001-09-25),-0.24218477,0.012017719
298,"I was at a class reunion. I don't remember many of the people that were there. I do remember Susan J, Jake G and Darren. We were sitting in what appeared to be an old house at a large wood oval dining room table. We were just chatting and catching up and were laughing a lot. As more people began showing up we were looking for the other leafs of the table to add in so we could all sit around one table. We thought that everyone who would show up would fit around this one table. We thought that would be really nice to be able to do that. We all started getting up and pulling the table apart. We decided to pull it into another room so we would have room to expand it more. Then we decided to take some of the two-person square tables and put them at the end of this oval table and just keep making it longer and longer by adding those. So we started moving those in. Some of them were a bit taller than others so we tried to keep all those together at the end. As we were putting the square ones next to the oval ones, I was talking to someone and Jake G. We were talking about our little radio or TV program that we had done together. I said something about something that he had messed up. He admitted it. We were kind of laughing about it. I couldn't remember exactly what it was. I said, well, I did too. It wasn't anything critical, just nice memories. I was standing there looking at him thinking that he was as attractive now as ever, except that he was much nicer now. I was looking for a place to sit and I didn't want to sit next to Darren again as I was before we moved the table. It looked like there weren't any seats left. As I was walking around the table looking for a spot to sit, and I wanted to sit next to someone I knew fairly well, I walked behind Susan J and I rubbed her back. I was going to say something and my eyes started tearing. I though dang it, I don't want to cry. This is ridiculous. She looked at me and said what? I said, I wanted to say something but my eyes started tearing up. Several people started laughing. I sat on a ledge behind them. I said, I'm just like my dad. I was kind of joking but I started crying a little bit too. Then I just started laughing uncontrollably. I hid my face trying to compose myself. What I was thinking that I wanted to say was that I had been looking through my old autograph books and I was going to say that I had been doing that and I found something that she had written. I was very touched by it and that is what was making me want to cry.",elizabeth.tsv,(2001-10-02),-0.19421543,0.087593175
305,"I was extremely angry. I was with Matthew and two of his friends. I'd been working for Liz C. I was somehow responsible for some money. She was going to have a co-worker threaten to kill me, to test me, and see if I would give up the money. ",elizabeth.tsv,(2001-10-14),-0.016625436,0.115950696
311,Some men came in and worked in the upstairs bathroom. It was not the normal WNA maintenance men. I didn't even know they were going to do it until after it was done. They replaced the upstairs toilet with an old toilet that was all nasty and rusty around the rim. I was having all kinds of trouble with it overflowing and I couldn't get it to stop. They also replaced the sink and counter fixture with this big ugly unit that had two trashcans.,elizabeth.tsv,(2001-10-16),-0.035038915,0.31835508
312,"I went to a Kroger store to get my prescription for Concerta filled. I was talking to them about it. I told them that I used to work for People's Drug Stores and from that experience I knew that different stores in one chain would have different prices on items depending on their location. I wondered if that was the same for them and their prescriptions. At first he acted like he didn't want to tell me then he kind of nonchalantly acted like he didn't know. I had the feeling that he did know but he didn't want to tell me. I was walking around the store waiting for my prescription to be filled. It was a very small store for a Kroger store. It was more the size of a drug store. They were telling other people that I used to work for People's Drug Stores. They introduced me to one man in particular, but I can't remember why they introduced me to him or who he was or what his role was. My prescription was finally ready and I went to pick it up and it was over $200. I said, Oh, wait a minute. When I came to get it filled the last time it was only $125. Of course, that was a different store. I can't do this. I've been unemployed for the last year. I've been having enough trouble getting this as it is. They took it back. I went to get a bottle of Diet Sprite before I left. I realized I didn't have my purse with me so I put it back on the shelf and went out to my car to get my money. I saw my purse and my car keys laying on the seat and the door was locked. I was so angry. I went back in and they called AAA for me. While I was waiting they were having a company meeting so I just sat with them during their meeting. I kept watching out the window for AAA to arrive. They were going around the tables and talking about each person or having each person say something. I didn't think they would make me speak since I was not a part of their group, and they didn't. They passed by me. I saw AAA come so I ran out quickly. As I got out there I realized that my car keys were in my pocket. And AAA was actually a woman driving a mini-van. When I got out there and realized that I had my keys she was out of the van and lifting the rear door up to get ready to help me. I apologized for having called her out there for nothing. She didn't seem upset, like it wasn't a big deal. She said no, that was fine.",elizabeth.tsv,(2001-10-17),-0.27020913,0.09001359
315,"I was going to work for Brad S and I had taken some hamburger with me to take home after I got off work. I put it in one of the desk drawers hoping that he wouldn't see it before we left. In his office there were two desks. His was sitting facing the door and the other was sitting at an angle facing his. I was sitting at the other desk. I don't remember what I was doing. As usual, there wasn't much to do. There were several people in there. I noticed my desk had stuff all over it just like his usually is in waking life, especially a bunch of pens. I start picking up these pens and testing them. A lot of them didn't write any longer so I threw them away. I thought to myself, why didn't he do that. Someone then asked me the same thing. I was trying to be nice and just said I don't know. He brought some new insurance man in to introduce to me. I was trying to be nice. I don't remember what kind of insurance he was selling. I told him I was satisfied with my current insurance policies. After all those people left, Susan J and Theresa Ay came in. I found that Susan J was working for him part-time and one full day a week and that Theresa Ay was also working for him. I got really angry with him and thought, no wonder I'm not getting any hours. I took my stuff and left. I was going through all these doors and hallways trying to get out. I noticed that Brad S was following me. I kept walking as quickly as I could and taking all of these different turns hoping to lose him. I finally got outside and I started flying right away thinking that was the best way to get away from him. I did. I lost him. Everyone else that was flying was flapping their arms to fly. I kind of turned on my back and was just enjoying how good it felt. Amy S had invited me to a lunch. There were quite a few people there. The attire was dressy. We went to kind of a fancy restaurant but it was a very long table with all of the female friends of hers. She was the only person I knew. All of the things we were eating were kind of colorful molds of things. Some of them were Jell-O molds. Some had mini-marshmallows covering them. I mentioned to her what Brad S had done about the hours and how angry I was that he had done that to me. A couple of people questioned it because I was trying to defend my position then. I stated that when I interviewed I got the impression that we agreed to my working 12 to 4 or 5, Monday through Friday and the weekly hours would be between 20 and 25. I stated that it has never been that way since I started. The first week I got 18 hours, and it has declined each week after that, with last week being only 2 hours. I was getting so angry talking about it. I learned that Susan J and all of these women were part of office services for the building where Brad S rents. One woman left to find out what was going on and she came back and told us that. I said, you know that really doesn't matter to me. It still doesn't make it right that he told me one thing and didn't follow through. I said I'm sure he didn't realize that Susan J and I grew up together and were best friends for a lot of years. I went and talked to Susan J to see if she was in fact doing this specialized stuff that they said she was and if she wasn't then she was basically doing the same thing he had me doing when he did have me come in. At that point different people started showing up and making all kinds of accusations about people. It was getting ugly and embarrassing. Some people were just sitting there because they didn't know what to do or say. I just decided that I was going to leave. Again, it was a series of doors that I had to go through to leave. They were all glass and some of them were revolving doors. I finally managed to get out. My car was sitting right outside the final door. I jumped in and locked the doors so that even if they did follow me they couldn't get in. I started it and put it in gear. I was in a cobblestone courtyard. It was fairly open but it had three places that you could probably drive through. They looked somewhat like alleys. All these women were walking around in floor length pastel flowing dresses and they all had boas. Some of them were bright colors, but they all had boas. I went ahead and put my car in gear. I wondered how I was going to get out with these women walking around everywhere. I managed to make it out with no problem.",elizabeth.tsv,(2001-10-26),-0.2852874,0.012638402
319,There was something about me taking my car to get it looked at or get an estimate or semi-fixed. I went back to the house but I didn't want to go to work. I told Mother and Daddy that I didn't feel well and I wasn't going to work. I knew I was lying but I didn't think they did. I realized I would need to act sick now so they wouldn't say anything. We were watching TV. There was more about my car but I can't remember it now.,elizabeth.tsv,(2001-10-27),-0.03714921,0.033786405
320,"I went to see Alice S to ask her a couple of questions. I can't get a sense of the building I was in. Normally I would be either in the grade school, church offices, or in Shalom House. This was more like a very large, 3-4 story school or. It reminds me of Goodman Hall at SMW. I went into Alice S's office. It was very tiny and uncomfortable to me because it was so small and crowded. It had her desk and some shelves and filing cabinets, two sitting chairs with a table between them and another very small desk also. Alice S was in there. I had asked her something and she was printing a copy or getting a paper for me or for someone else. I'm not sure. The gentleman that works in her office at that very small desk was working at his laptop computer. His name was Scott. He closed it up and left. For some reason I had the sense that he wasn't going to be working there anymore. I asked Alice S what happened to Scott. She said, shh, like we shouldn't talk about it. I sat down in one of the chairs while I was waiting for her. She sat down at her desk and another man came in and started talking to her. He completely ignored me or didn't even see me there. He was standing right in front of me with his back to me and started asking her something. Then he left and a woman came in and actually closed the door behind her. She said, hi boss. Can I have ten minutes of your time? This was an older woman. She looked at me but completely ignored me and didn't say a word to me. Finally Alice S looked at me apologetically and said, would you mind? I said, why don't you give me one of your cards and I'll email you. My tone of voice showed my frustration. I was searching around her desk to pick up a card but I couldn't find one. She said, no, why don't you call me because I wouldn't want this to get lost among a bunch of emails. I said, fine again with the tone of voice. I was very perturbed that I had been there and these other people came in and ignored me and I was the one that kept getting put off. I went ahead and left. I was trying to find my way out of this building. There was also a young boy who seemed to be trying to find his way out as well. I don't know what happened to him as the dream progressed. I finally thought, if I go to the basement I will know my way from there. I went to the basement and then I started going up these escalators. They were not normal escalators but only 1/3 or _ as many steps as a normal one and they seemed to move a bit differently as well. These made me even more uncomfortable than the ones in waking life do. It was like you had to move especially quickly and carefully at the top to get off. I finally got up to this one floor and for some reason I got a wheelchair and was pushing it. I had to get through this one area and had these lines of people like you might see at a bank if there were many tellers and each had their own line. In every line there was at least one person sitting in a wheelchair and I had to get across the front of these people. Most of the people in the wheelchairs were being very nice about it. They had to back up a bit to make room for me to get through with this empty wheelchair. I kind of brushed up against a couple of them and apologized. I finally got through. For some reason it seems that I took the empty wheelchair just so I could get through. Someone asked me to take this woman in a hospital bed to her new room. She was being transferred to another room. I must have been at SVH. I realized later that I was. They didn't tell me what floor this woman needed to go to and she didn't know either. I stopped at this one place that was kind of like a snack bar window. I asked if they could make a call to find out where she was supposed to be. The manager was being very uncooperative. One of the male employees asked the manager if it was okay to offer the patient some free ice cream. He said that was fine and asked her if she would like some. She said yes so the employee gave her some vanilla soft serve ice cream in a cardboard bowl. I sat her up in her bed and she was eating her ice cream. While we were sitting there these younger adults came up. I thought I recognized the one woman but I didn't say anything. They were relatives of this woman in bed. They were surprised to see her and they chatted for a little while. Somewhere around this point she told me that she was fine and was actually there to do volunteer work. I don't know why she was in this hospital bed. I said, well, I'll tell you what though. Let's have you stay in the bed that way we will be able to get through these different floors without people questioning us. It will be easier for us to go through the various places in the hospital to find out where you are supposed to be. She agreed to that. I then said, let's start at the third floor because that makes most sense to me as far as a place to start. After she finished her ice cream and finished talking to her relatives I had her lay back down and I took her up to the 3rd floor. I went through a couple of departments and a couple of them said that this patient wasn't theirs. we went into this one area like a small pharmacy. I was having trouble maneuvering this bed around in there because the aisles were so narrow and short. While we were in there a doctor came running in yelling tube, tube, tube. He ran in a pulled a tube in a plastic wrapper off the shelf, ripped it open and just dropped the wrapper, and ran back out and down the hall. There were maybe 4 or 5 more doctors who came running down the hall towards us. They had blood all over them and some medical things in their hands. I thought they were running in to us. But I guess they decided they didn't need to. They calmed down and ran around and said yes he was breathing okay and the tube was clear. They went back and she had a concerned look on her face. I said don't worry, it will be okay. They won't have you volunteering any place that is really uncomfortable for you. The doctors that had blood all over them had splatter blood all over her face. I took a towel and gently wiped it off, I recall the most being on her forehead. We went on working our way to some departments trying to find where she was supposed to be. I came across a large male black nurse. I asked him if he could tell me where the admissions office is for this area. He told me where to go. I headed over there. I saw a nurse sitting by a desk. There was a very small newborn. maybe a preemie. next to her. I think it was in an incubator. She was on the phone. When she got off the phone I explained why we were there and that this woman was really fine. I had kept her on the bed so we could get through the various departments to find out where she was supposed to be. She was supposed to be volunteering. The nurse was very nice. She was a younger black female nurse. While we were waiting for her to get off the phone I was wondering if this was the new pediatric unit that SVH has been building, or if it was the new pediatric sleep center. At that point the nurse said the woman could get out of bed and she would take care of it from there. I could just take the bed out. I headed out with the empty bed and came across this male nurse again. He said he was on his way to put back another empty bed so I could just follow him. I jokingly said, oh, you were supposed to give me a ride now. He just laughed. He went really fast and I couldn't keep up with him so I was practically running to keep up with him. I guess staff thought I was playing with the empty bed or something because they were all looking at me and grinning. I saw Doctor C at the end of the hall so I aimed it at him like I was going to run into him. When I got up to him I stopped to say hello. His hair was completely gray. He spoke very briefly, but friendly. Just not what I expected after not seeing him for a year. I thought he would seem happier to see me. I just chalked it up to him being either very busy or in one of his moods. Either way this is how he would have acted so I didn't take it personally.",elizabeth.tsv,(2001-10-27),-0.29100907,0.033218056
321,"I was with my family in St. Joe. I was thinking that it would be fun for us to all go to a professional baseball game together. Not sit all in one row but several rows, one in front of the other, so we can talk together more. The next thing I know we are there. I'm not sure who all was there but it was at least my parents and my siblings and I. I wanted something to eat and drink but no one else was so I wouldn't say anything. I took some money, a ten-dollar bill, out of my wallet, folded it up and put it in my shoe. Someone said something about it. I said I forgot to do it earlier and I don't usually put it in my shoe but that was easiest right now. We were referring to the fact that you are supposed to put money, like a one-dollar bill, on your person all the time for luck. I think I actually got the money out because I was hungry. A bit letter I noticed others eating and drinking and I was aggravated because no one offered to have me go with them or offered to get me anything. Brian F was eating potato wedges and drinking a coke. Later I noticed others had gone and gotten things too. Still later Brian F was now eating a cheeseburger and drinking a coke. BJ asked if I wanted to get some ice cream and I said no, I really didn't want ice cream. What I really wanted was the potato wedges and a sprite. While we were watching the game I was almost hit a couple of times by fly balls. I also noticed that in between the sections of the stands there were these very tall, white, plastic, flexible holders that were taller than the stands and they each held a golf ball at the end. The golf ball could be released and thrown somewhere. It had some purpose for the game. I thought it was very unusual. I was walking around with Brian F and BJ and we were talking about people writing and talking about the end of the war. I was thinking that if I had initiated this conversation a year ago they would have dismissed me and not paid any attention. Now BJ had heard this from someone else and was very intrigued and ready to discuss it. I recognized that things seem to come around to their geographic areas a year or so later than here. Kind of like the time lapse between New York and California fashions hitting other parts of the country. Anyway, we were talking about this one series of books, I believe they were written about The Rapture. Two of the women I worked with last year were really into them but I didn't read them because they didn't sound like they coincided with my beliefs. Anyway, BJ was very intrigued by the whole idea and Brian F was just listening with interest and as though he wanted to learn and understand. typical for Brian F. I remember saying something about this books talking about the world opening up and swallowing people and fires etc. I reminded them that they are still written by men, as was the Bible, and as were Conversations with God, by Neale Donald Walsh. I went on to say that it is impossible for us to know these things for certain. That even though these people claim to be writing from God's inspiration, they are still human men and fallible. I went on to say that we each need to find our own truth. we left the ball game and went to another place. I don't know what the place was. It was a semi-circle theater. The round stage was completely dark except for a spotlight on the man speaking. The back half of the round stage had individual dark curtains. Each curtain had the name of a place in lights. One of them was Lesourdesville Lake Amusement Park. We chose that curtain. Immediately we were transported to another place. I thought it was going to be Lesourdesville Lake but it wasn't. This is difficult to describe. It looked as though we were watching a movie scanning the night skyline of a large city, but at the same time it felt as though we were there. not physically flying and not in an airplane. which is why it is difficult to describe that part. But now it is suddenly daytime and we fly past the World Trade Center towers and they are on fire and smoking. I realize where we are and when and I become very upset and fight back tears. we are on a boat and it begins to burn. It quickly docks and people begin to get off. No one is panicking and I get off safely. There was a coral colored carpet and I had to go up several steps to get off, but it was almost mazelike. I had to go up a step, walk to one side for a little while and find an opening to go up the next step. There was one woman in particular with long sandy-brown hair. I don't know who she is but we said something to each other as we were leaving. we are back in the theater. My family members are all in seats. I am approaching them with a notepad in hand. I see the Homers sitting there as well. Kenny H is sitting on the end of the row. I sit down on the floor next to him to ask him about this experience. I am thinking that I am sure that I am still dreaming. I asked Kenny about his experience. He said they did in fact go where their curtain said they were going. He said they were awake in coming to the theater and they were awake now. I was disappointed to hear that because I was so sure to that point that I was still dreaming. I was writing feverishly to get everything down on a notepad. Some people came up behind us and set up a table and sat down there. They seemed to be upper-class people. My paper was making noise as I turned the pages and they were getting very annoyed. I was having trouble finding a clean sheet of paper but did not want to stop for fear of losing some of this. Matthew came up to me. He is a much younger boy, maybe 9 or 10. I was trying to gather all of my things to go and sit with him. I had lots of papers, a drink, and a winter coat. I was having trouble getting it all. Matthew helped. As we were walking to our seats we passed Darren. He said that Matthew had said he would visit with Darren after this. I was aggravated by this and said I would have talk to Matthew about this and we would see. We went to our seats.",elizabeth.tsv,(2001-10-31),-0.21526782,0.010415418
323,We had a CRHP meeting. Some of them came into the kitchen in the rectory. Julie D had this really funky round coffeepot.,elizabeth.tsv,(2001-11-06),-0.012794741,0.27144307
329,I was taking things out of a utensil drawer in my kitchen and putting them in a second utensil drawer.,elizabeth.tsv,(2001-11-25),-0.0359049,0.28153393
